write_info	1.0
write_demog	1.0
write_epi	1.0
write_final	1.0
Nsets	5.0
Nreps	10.0
dur_p	0.25
Dmax	25.4
D50	3058.0
Dk	0.41
dur_d	0.75
beta_p	2.76
betamax	0.317
beta50	13938.0
betak	1.02
beta_d	0.76
rho	3.46
lifeExpectancy	50.0
dt	0.01
start_time	-5.0
report_from	-2.0
report_every	0.1
end_time	20.0
set	1
pop_size	1000.0
sigma_e	0.5
sigma_m	0.3
start_mu	4.5
contact_rate	0.5
proportionCore	0.2
nonCore_rateMultiplier	0.3
assortativity	0.8
rep	1
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
-2.0	803	209	0	0	0	0
-1.9	804	208	0	0	0	0
-1.8	805	208	0	0	0	0
-1.7	804	207	0	0	0	0
-1.6	804	207	0	0	0	0
-1.5	804	206	0	0	0	0
-1.4	802	207	0	0	0	0
-1.3	800	205	0	0	0	0
-1.2	802	206	0	0	0	0
-1.1	801	206	0	0	0	0
-1.0	799	205	0	0	0	0
-0.9	798	205	0	0	0	0
-0.8	798	205	0	0	0	0
-0.7	796	204	0	0	0	0
-0.6	793	204	0	0	0	0
-0.5	793	204	0	0	0	0
-0.4	793	204	0	0	0	0
-0.3	799	204	0	0	0	0
-0.2	802	204	0	0	0	0
-0.1	804	206	0	0	0	0
-6.23077978101e-14	803	205	1	0	0	4.25613861947
0.0999999999999	805	204	1	0	0	4.25613861947
0.2	804	204	1	0	0	4.25613861947
0.3	803	204	1	0	0	4.25613861947
0.4	803	204	1	0	0	4.25613861947
0.5	806	204	1	0	0	4.25613861947
0.6	806	205	1	0	0	4.25613861947
0.7	810	204	1	0	0	4.25613861947
0.8	808	203	1	0	0	4.25613861947
0.9	806	203	1	0	0	4.25613861947
1.0	808	203	1	0	0	4.25613861947
1.1	807	202	1	0	0	4.25613861947
1.2	806	200	1	0	0	4.25613861947
1.3	803	198	1	0	0	4.25613861947
1.4	802	199	1	0	0	4.25613861947
1.5	803	199	1	0	0	4.25613861947
1.6	805	198	1	0	0	4.25613861947
1.7	804	198	1	0	0	4.25613861947
1.8	802	198	1	0	0	4.25613861947
1.9	802	202	1	0	0	4.25613861947
2.0	802	203	1	0	0	4.25613861947
2.1	800	203	1	0	0	4.25613861947
2.2	799	204	1	0	0	4.25613861947
2.3	797	202	1	0	0	4.25613861947
2.4	799	202	1	0	0	4.25613861947
2.5	799	203	1	0	0	4.25613861947
2.6	801	202	1	0	0	4.25613861947
2.7	802	203	1	0	0	4.25613861947
2.8	801	204	1	0	0	4.25613861947
2.9	799	204	1	0	0	4.25613861947
3.0	798	203	1	0	0	4.25613861947
3.1	798	204	1	0	0	4.25613861947
3.2	799	204	1	0	0	4.25613861947
3.3	802	204	1	0	0	4.25613861947
3.4	806	204	1	0	0	4.25613861947
3.5	808	204	1	0	0	4.25613861947
3.6	807	204	1	0	0	4.25613861947
3.7	805	204	1	0	0	4.25613861947
3.8	805	205	1	0	0	4.25613861947
3.9	804	205	1	0	0	4.25613861947
4.0	805	206	1	0	0	4.25613861947
4.1	807	207	1	0	0	4.25613861947
4.2	805	207	1	0	0	4.25613861947
4.3	804	207	1	0	0	4.25613861947
4.4	803	207	1	0	0	4.25613861947
4.5	802	207	1	0	0	4.25613861947
4.6	802	207	1	0	0	4.25613861947
4.7	800	210	1	0	0	4.25613861947
4.8	800	210	1	0	0	4.25613861947
4.9	800	211	1	0	0	4.25613861947
5.0	800	211	1	0	0	4.25613861947
5.1	800	211	1	0	0	4.25613861947
5.2	803	209	1	0	0	4.25613861947
5.3	802	210	1	0	0	4.25613861947
5.4	802	210	1	0	0	4.25613861947
5.5	802	209	1	0	0	4.25613861947
5.6	801	210	1	0	0	4.25613861947
5.7	802	211	1	0	0	4.25613861947
5.8	802	211	1	0	0	4.25613861947
5.9	799	211	1	0	0	4.25613861947
6.0	798	210	1	0	0	4.25613861947
6.1	801	210	1	0	0	4.25613861947
6.2	800	210	1	0	0	4.25613861947
6.3	797	210	1	0	0	4.25613861947
6.4	799	209	1	0	0	4.25613861947
6.5	799	208	1	0	0	4.25613861947
6.6	799	208	1	0	0	4.25613861947
6.7	799	208	1	0	0	4.25613861947
6.8	798	209	1	0	0	4.25613861947
6.9	797	209	1	0	0	4.25613861947
7.0	794	209	1	0	0	4.25613861947
7.1	792	210	1	0	0	4.25613861947
7.2	792	210	1	0	0	4.25613861947
7.3	793	210	1	0	0	4.25613861947
7.4	795	211	1	0	0	4.25613861947
7.5	793	210	1	0	0	4.25613861947
7.6	791	210	1	0	0	4.25613861947
7.7	788	209	1	0	0	4.25613861947
7.8	787	210	1	0	0	4.25613861947
7.9	787	211	1	0	0	4.25613861947
8.0	786	211	1	0	0	4.25613861947
8.1	785	211	1	0	0	4.25613861947
8.2	782	211	1	0	0	4.25613861947
8.3	782	212	1	0	0	4.25613861947
8.4	783	213	1	0	0	4.25613861947
8.5	783	213	1	0	0	4.25613861947
8.6	786	213	1	0	0	4.25613861947
8.7	785	213	1	0	0	4.25613861947
8.8	784	213	1	0	0	4.25613861947
8.9	782	213	1	0	0	4.25613861947
9.0	782	213	1	0	0	4.25613861947
9.1	785	212	1	0	0	4.25613861947
9.2	785	212	1	0	0	4.25613861947
9.3	786	213	1	0	0	4.25613861947
9.4	786	212	1	0	0	4.25613861947
9.5	785	212	1	0	0	4.25613861947
9.6	786	213	1	0	0	4.25613861947
9.7	787	213	1	0	0	4.25613861947
9.8	787	213	1	0	0	4.25613861947
9.9	785	214	1	0	0	4.25613861947
10.0	786	214	1	0	0	4.25613861947
10.1	787	215	1	0	0	4.25613861947
10.2	788	216	1	0	0	4.25613861947
10.3	788	215	1	0	0	4.25613861947
10.4	788	214	1	0	0	4.25613861947
10.5	784	215	1	0	0	4.25613861947
10.6	786	214	1	0	0	4.25613861947
10.7	786	213	1	0	0	4.25613861947
10.8	784	213	1	0	0	4.25613861947
10.9	784	213	1	0	0	4.25613861947
11.0	784	212	1	0	0	4.25613861947
11.1	785	212	1	0	0	4.25613861947
11.2	785	212	1	0	0	4.25613861947
11.3	785	212	1	0	0	4.25613861947
11.4	786	213	1	0	0	4.25613861947
11.5	785	213	1	0	0	4.25613861947
11.6	789	213	1	0	0	4.25613861947
11.7	790	214	1	0	0	4.25613861947
11.8	790	214	1	0	0	4.25613861947
rep	2
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
-2.0	794	199	0	0	0	0
-1.9	795	198	0	0	0	0
-1.8	796	197	0	0	0	0
-1.7	795	197	0	0	0	0
-1.6	796	197	0	0	0	0
-1.5	797	194	0	0	0	0
-1.4	799	194	0	0	0	0
-1.3	799	192	0	0	0	0
-1.2	801	194	0	0	0	0
-1.1	801	194	0	0	0	0
-1.0	804	194	0	0	0	0
-0.9	804	193	0	0	0	0
-0.8	803	192	0	0	0	0
-0.7	803	193	0	0	0	0
-0.6	801	192	0	0	0	0
-0.5	802	191	0	0	0	0
-0.4	801	192	0	0	0	0
-0.3	800	191	0	0	0	0
-0.2	800	191	0	0	0	0
-0.1	796	189	0	0	0	0
-6.23077978101e-14	796	188	1	0	0	5.40374138349
0.0999999999999	798	188	1	0	0	5.40374138349
0.2	801	190	1	0	0	5.40374138349
0.3	798	189	1	0	0	5.40374138349
0.4	802	189	1	0	0	5.40374138349
0.5	803	189	1	0	0	5.40374138349
0.6	805	188	1	0	0	5.40374138349
0.7	800	193	1	0	0	5.40374138349
rep	3
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
-2.0	794	194	0	0	0	0
-1.9	796	194	0	0	0	0
-1.8	795	195	0	0	0	0
-1.7	796	194	0	0	0	0
-1.6	794	194	0	0	0	0
-1.5	795	194	0	0	0	0
-1.4	795	194	0	0	0	0
-1.3	793	195	0	0	0	0
-1.2	796	196	0	0	0	0
-1.1	794	196	0	0	0	0
-1.0	796	195	0	0	0	0
-0.9	797	195	0	0	0	0
-0.8	793	194	0	0	0	0
-0.7	796	194	0	0	0	0
-0.6	800	194	0	0	0	0
-0.5	799	195	0	0	0	0
-0.4	800	195	0	0	0	0
-0.3	797	194	0	0	0	0
-0.2	795	194	0	0	0	0
-0.1	794	195	0	0	0	0
-6.23077978101e-14	792	195	1	0	0	5.63738267531
0.0999999999999	791	195	1	0	0	5.63738267531
0.2	793	196	1	0	0	5.63738267531
0.3	794	199	1	0	0	5.63738267531
0.4	797	199	1	0	0	5.63738267531
0.5	797	198	1	0	0	5.63738267531
0.6	796	198	1	0	0	5.63738267531
0.7	798	198	1	0	0	5.63738267531
0.8	794	199	1	0	0	5.63738267531
0.9	798	197	1	0	0	5.63738267531
1.0	797	197	1	0	0	5.63738267531
1.1	796	198	1	0	0	5.63738267531
1.2	796	198	1	0	0	5.63738267531
1.3	797	198	1	0	0	5.63738267531
1.4	797	198	1	0	0	5.63738267531
1.5	797	197	1	0	0	5.63738267531
1.6	796	197	1	0	0	5.63738267531
1.7	793	197	1	0	0	5.63738267531
1.8	797	197	1	0	0	5.63738267531
1.9	797	198	1	0	0	5.63738267531
2.0	797	198	1	0	0	5.63738267531
2.1	795	199	1	0	0	5.63738267531
2.2	797	198	1	0	0	5.63738267531
2.3	792	199	1	0	0	5.63738267531
2.4	794	199	1	0	0	5.63738267531
2.5	796	199	1	0	0	5.63738267531
2.6	795	199	1	0	0	5.63738267531
2.7	801	200	1	0	0	5.63738267531
2.8	800	201	1	0	0	5.63738267531
2.9	802	202	1	0	0	5.63738267531
3.0	803	202	1	0	0	5.63738267531
3.1	804	202	1	0	0	5.63738267531
3.2	801	202	1	0	0	5.63738267531
3.3	802	202	1	0	0	5.63738267531
3.4	804	201	1	0	0	5.63738267531
3.5	803	201	1	0	0	5.63738267531
3.6	802	201	1	0	0	5.63738267531
3.7	802	200	1	0	0	5.63738267531
3.8	802	199	1	0	0	5.63738267531
3.9	804	200	1	0	0	5.63738267531
4.0	803	199	1	0	0	5.63738267531
4.1	801	200	1	0	0	5.63738267531
4.2	800	200	1	0	0	5.63738267531
4.3	799	200	1	0	0	5.63738267531
4.4	798	199	0	0	0	0
rep	4
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
-2.0	796	205	0	0	0	0
-1.9	795	205	0	0	0	0
-1.8	794	205	0	0	0	0
-1.7	793	205	0	0	0	0
-1.6	792	205	0	0	0	0
-1.5	790	205	0	0	0	0
-1.4	789	205	0	0	0	0
-1.3	789	207	0	0	0	0
-1.2	788	209	0	0	0	0
-1.1	787	209	0	0	0	0
-1.0	786	210	0	0	0	0
-0.9	785	209	0	0	0	0
-0.8	784	210	0	0	0	0
-0.7	784	211	0	0	0	0
-0.6	785	211	0	0	0	0
-0.5	785	211	0	0	0	0
-0.4	785	211	0	0	0	0
-0.3	782	212	0	0	0	0
-0.2	781	211	0	0	0	0
-0.1	782	212	0	0	0	0
-6.23077978101e-14	781	211	1	0	0	3.80544984561
0.0999999999999	781	211	1	0	0	3.80544984561
0.2	782	210	1	0	0	3.80544984561
0.3	782	211	1	0	0	3.80544984561
0.4	787	213	1	0	0	3.80544984561
0.5	784	213	1	0	0	3.80544984561
0.6	783	213	1	0	0	3.80544984561
0.7	783	213	1	0	0	3.80544984561
0.8	785	212	1	0	0	3.80544984561
0.9	786	212	1	0	0	3.80544984561
1.0	785	213	1	0	0	3.80544984561
1.1	784	212	1	0	0	3.80544984561
1.2	783	212	1	0	0	3.80544984561
1.3	784	212	1	0	0	3.80544984561
1.4	784	213	1	0	0	3.80544984561
1.5	783	212	1	0	0	3.80544984561
1.6	780	211	1	0	0	3.80544984561
1.7	779	211	1	0	0	3.80544984561
1.8	779	211	1	0	0	3.80544984561
1.9	777	211	1	0	0	3.80544984561
2.0	775	210	1	0	0	3.80544984561
2.1	774	209	1	0	0	3.80544984561
2.2	778	209	1	0	0	3.80544984561
2.3	779	209	1	0	0	3.80544984561
2.4	779	210	1	0	0	3.80544984561
2.5	781	210	1	0	0	3.80544984561
2.6	783	210	1	0	0	3.80544984561
2.7	785	210	1	0	0	3.80544984561
2.8	788	210	1	0	0	3.80544984561
2.9	791	209	1	0	0	3.80544984561
3.0	788	209	1	0	0	3.80544984561
3.1	786	210	1	0	0	3.80544984561
3.2	787	210	1	0	0	3.80544984561
3.3	788	210	1	0	0	3.80544984561
3.4	787	210	1	0	0	3.80544984561
3.5	785	210	1	0	0	3.80544984561
3.6	786	209	1	0	0	3.80544984561
3.7	788	210	1	0	0	3.80544984561
3.8	787	210	1	0	0	3.80544984561
3.9	785	211	1	0	0	3.80544984561
4.0	786	211	1	0	0	3.80544984561
4.1	787	211	1	0	0	3.80544984561
4.2	787	211	1	0	0	3.80544984561
4.3	786	212	1	0	0	3.80544984561
4.4	788	212	1	0	0	3.80544984561
4.5	788	213	1	0	0	3.80544984561
4.6	786	213	1	0	0	3.80544984561
4.7	785	212	1	0	0	3.80544984561
4.8	788	212	1	0	0	3.80544984561
4.9	784	211	1	0	0	3.80544984561
5.0	785	211	1	0	0	3.80544984561
5.1	783	211	1	0	0	3.80544984561
5.2	782	211	1	0	0	3.80544984561
5.3	782	212	1	0	0	3.80544984561
5.4	783	212	1	0	0	3.80544984561
5.5	782	213	1	0	0	3.80544984561
5.6	780	214	1	0	0	3.80544984561
5.7	779	213	1	0	0	3.80544984561
5.8	780	214	1	0	0	3.80544984561
5.9	781	213	1	0	0	3.80544984561
6.0	781	212	1	0	0	3.80544984561
6.1	780	211	1	0	0	3.80544984561
6.2	781	209	1	0	0	3.80544984561
6.3	780	209	1	0	0	3.80544984561
6.4	783	208	1	0	0	3.80544984561
6.5	783	209	1	0	0	3.80544984561
6.6	784	209	1	0	0	3.80544984561
6.7	785	209	1	0	0	3.80544984561
6.8	785	208	1	0	0	3.80544984561
6.9	785	208	1	0	0	3.80544984561
7.0	785	208	1	0	0	3.80544984561
7.1	784	209	1	0	0	3.80544984561
7.2	783	209	1	0	0	3.80544984561
7.3	779	207	1	0	0	3.80544984561
7.4	779	208	1	0	0	3.80544984561
7.5	778	208	1	0	0	3.80544984561
7.6	781	208	1	0	0	3.80544984561
7.7	781	208	1	0	0	3.80544984561
7.8	780	209	1	0	0	3.80544984561
7.9	781	209	1	0	0	3.80544984561
8.0	779	209	1	0	0	3.80544984561
8.1	776	209	1	0	0	3.80544984561
8.2	775	209	1	0	0	3.80544984561
8.3	774	210	1	0	0	3.80544984561
8.4	772	209	1	0	0	3.80544984561
8.5	772	210	1	0	0	3.80544984561
8.6	772	210	1	0	0	3.80544984561
8.7	771	210	1	0	0	3.80544984561
8.8	771	210	1	0	0	3.80544984561
8.9	774	211	1	0	0	3.80544984561
9.0	773	212	1	0	0	3.80544984561
9.1	773	212	1	0	0	3.80544984561
9.2	775	213	1	0	0	3.80544984561
9.3	778	211	1	0	0	3.80544984561
9.4	778	211	1	0	0	3.80544984561
9.5	778	211	1	0	0	3.80544984561
9.6	775	212	1	0	0	3.80544984561
9.7	774	212	1	0	0	3.80544984561
9.8	774	213	1	0	0	3.80544984561
9.9	773	214	1	0	0	3.80544984561
10.0	772	214	1	0	0	3.80544984561
10.1	767	215	1	0	0	3.80544984561
10.2	769	215	1	0	0	3.80544984561
10.3	766	215	1	0	0	3.80544984561
10.4	765	216	1	0	0	3.80544984561
10.5	763	216	1	0	0	3.80544984561
10.6	764	215	1	0	0	3.80544984561
10.7	764	214	1	0	0	3.80544984561
10.8	765	214	1	0	0	3.80544984561
10.9	767	215	1	0	0	3.80544984561
11.0	766	215	1	0	0	3.80544984561
11.1	766	215	1	0	0	3.80544984561
11.2	768	215	1	0	0	3.80544984561
11.3	767	215	1	0	0	3.80544984561
11.4	767	214	1	0	0	3.80544984561
11.5	767	215	1	0	0	3.80544984561
11.6	768	214	1	0	0	3.80544984561
11.7	768	215	1	0	0	3.80544984561
11.8	770	215	1	0	0	3.80544984561
11.9	771	214	1	0	0	3.80544984561
12.0	766	214	1	0	0	3.80544984561
12.1	764	214	1	0	0	3.80544984561
12.2	763	214	1	0	0	3.80544984561
12.3	764	214	1	0	0	3.80544984561
12.4	764	214	1	0	0	3.80544984561
12.5	763	214	1	0	0	3.80544984561
12.6	762	213	1	0	0	3.80544984561
12.7	761	213	1	0	0	3.80544984561
12.8	761	213	1	0	0	3.80544984561
12.9	761	213	1	0	0	3.80544984561
13.0	763	213	1	0	0	3.80544984561
13.1	764	213	1	0	0	3.80544984561
13.2	765	213	1	0	0	3.80544984561
13.3	767	212	1	0	0	3.80544984561
13.4	769	213	1	0	0	3.80544984561
13.5	767	213	1	0	0	3.80544984561
13.6	767	213	1	0	0	3.80544984561
13.7	766	213	1	0	0	3.80544984561
13.8	765	212	1	0	0	3.80544984561
13.9	765	215	1	0	0	3.80544984561
14.0	764	215	1	0	0	3.80544984561
14.1	764	215	1	0	0	3.80544984561
rep	5
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
-2.0	804	203	0	0	0	0
-1.9	806	203	0	0	0	0
-1.8	803	204	0	0	0	0
-1.7	801	204	0	0	0	0
-1.6	798	204	0	0	0	0
-1.5	797	204	0	0	0	0
-1.4	797	205	0	0	0	0
-1.3	799	204	0	0	0	0
-1.2	799	204	0	0	0	0
-1.1	798	204	0	0	0	0
-1.0	799	204	0	0	0	0
-0.9	799	203	0	0	0	0
